ID, Path, Set, ClassID, ClassName
30001,Trn_4,train,2,bird
30002,Trn_4,train,0,plane
30003,Trn_4,train,5,dog
30004,Trn_4,train,0,plane
30005,Trn_4,train,2,bird
30006,Trn_4,train,7,horse
30007,Trn_4,train,0,plane
30008,Trn_4,train,5,dog
30009,Trn_4,train,0,plane
30010,Trn_4,train,1,car
30011,Trn_4,train,1,car
30012,Trn_4,train,1,car
30013,Trn_4,train,9,truck
30014,Trn_4,train,8,ship
30015,Trn_4,train,5,dog
30016,Trn_4,train,5,dog
30017,Trn_4,train,9,truck
30018,Trn_4,train,1,car
30019,Trn_4,train,2,bird
30020,Trn_4,train,1,car
30021,Trn_4,train,1,car
30022,Trn_4,train,3,cat
30023,Trn_4,train,6,frog
30024,Trn_4,train,0,plane
30025,Trn_4,train,3,cat
30026,Trn_4,train,4,deer
30027,Trn_4,train,7,horse
30028,Trn_4,train,9,truck
30029,Trn_4,train,4,deer
30030,Trn_4,train,1,car
30031,Trn_4,train,9,truck
30032,Trn_4,train,8,ship
30033,Trn_4,train,4,deer
30034,Trn_4,train,9,truck
30035,Trn_4,train,8,ship
30036,Trn_4,train,9,truck
30037,Trn_4,train,3,cat
30038,Trn_4,train,5,dog
30039,Trn_4,train,2,bird
30040,Trn_4,train,1,car
30041,Trn_4,train,3,cat
30042,Trn_4,train,6,frog
30043,Trn_4,train,5,dog
30044,Trn_4,train,6,frog
30045,Trn_4,train,8,ship
30046,Trn_4,train,4,deer
30047,Trn_4,train,6,frog
30048,Trn_4,train,5,dog
30049,Trn_4,train,8,ship
30050,Trn_4,train,2,bird
30051,Trn_4,train,7,horse
30052,Trn_4,train,3,cat
30053,Trn_4,train,7,horse
30054,Trn_4,train,2,bird
30055,Trn_4,train,0,plane
30056,Trn_4,train,4,deer
30057,Trn_4,train,5,dog
30058,Trn_4,train,3,cat
30059,Trn_4,train,7,horse
30060,Trn_4,train,2,bird
30061,Trn_4,train,1,car
30062,Trn_4,train,6,frog
30063,Trn_4,train,6,frog
30064,Trn_4,train,6,frog
30065,Trn_4,train,0,plane
30066,Trn_4,train,8,ship
30067,Trn_4,train,9,truck
30068,Trn_4,train,5,dog
30069,Trn_4,train,5,dog
30070,Trn_4,train,8,ship
30071,Trn_4,train,6,frog
30072,Trn_4,train,3,cat
30073,Trn_4,train,0,plane
30074,Trn_4,train,7,horse
30075,Trn_4,train,7,horse
30076,Trn_4,train,9,truck
30077,Trn_4,train,5,dog
30078,Trn_4,train,4,deer
30079,Trn_4,train,1,car
30080,Trn_4,train,6,frog
30081,Trn_4,train,8,ship
30082,Trn_4,train,9,truck
30083,Trn_4,train,8,ship
30084,Trn_4,train,2,bird
30085,Trn_4,train,2,bird
30086,Trn_4,train,6,frog
30087,Trn_4,train,8,ship
30088,Trn_4,train,9,truck
30089,Trn_4,train,4,deer
30090,Trn_4,train,4,deer
30091,Trn_4,train,1,car
30092,Trn_4,train,5,dog
30093,Trn_4,train,1,car
30094,Trn_4,train,4,deer
30095,Trn_4,train,4,deer
30096,Trn_4,train,8,ship
30097,Trn_4,train,8,ship
30098,Trn_4,train,5,dog
30099,Trn_4,train,1,car
30100,Trn_4,train,6,frog
30101,Trn_4,train,0,plane
30102,Trn_4,train,3,cat
30103,Trn_4,train,8,ship
30104,Trn_4,train,0,plane
30105,Trn_4,train,4,deer
30106,Trn_4,train,0,plane
30107,Trn_4,train,2,bird
30108,Trn_4,train,7,horse
30109,Trn_4,train,5,dog
30110,Trn_4,train,2,bird
30111,Trn_4,train,1,car
30112,Trn_4,train,9,truck
30113,Trn_4,train,4,deer
30114,Trn_4,train,4,deer
30115,Trn_4,train,3,cat
30116,Trn_4,train,6,frog
30117,Trn_4,train,1,car
30118,Trn_4,train,0,plane
30119,Trn_4,train,4,deer
30120,Trn_4,train,6,frog
30121,Trn_4,train,9,truck
30122,Trn_4,train,0,plane
30123,Trn_4,train,4,deer
30124,Trn_4,train,6,frog
30125,Trn_4,train,8,ship
30126,Trn_4,train,2,bird
30127,Trn_4,train,6,frog
30128,Trn_4,train,9,truck
30129,Trn_4,train,4,deer
30130,Trn_4,train,4,deer
30131,Trn_4,train,0,plane
30132,Trn_4,train,1,car
30133,Trn_4,train,8,ship
30134,Trn_4,train,1,car
30135,Trn_4,train,5,dog
30136,Trn_4,train,3,cat
30137,Trn_4,train,7,horse
30138,Trn_4,train,4,deer
30139,Trn_4,train,1,car
30140,Trn_4,train,4,deer
30141,Trn_4,train,1,car
30142,Trn_4,train,7,horse
30143,Trn_4,train,0,plane
30144,Trn_4,train,8,ship
30145,Trn_4,train,9,truck
30146,Trn_4,train,0,plane
30147,Trn_4,train,7,horse
30148,Trn_4,train,1,car
30149,Trn_4,train,0,plane
30150,Trn_4,train,4,deer
30151,Trn_4,train,0,plane
30152,Trn_4,train,6,frog
30153,Trn_4,train,7,horse
30154,Trn_4,train,5,dog
30155,Trn_4,train,0,plane
30156,Trn_4,train,7,horse
30157,Trn_4,train,8,ship
30158,Trn_4,train,6,frog
30159,Trn_4,train,4,deer
30160,Trn_4,train,1,car
